Data,Valor,Local,Categoria
2025-06-12,89.90,Mercado Extra,Alimentação
2025-06-11,1299.99,Magazine Luiza,Casa
2025-06-10,159.90,Steam Games,Games
2025-06-09,45.50,Padaria São João,Alimentação
2025-06-08,299.99,Casas Bahia,Casa
2025-06-07,69.90,Epic Games,Games
2025-06-06,132.75,Supermercado Dia,Alimentação
2025-06-05,899.00,Ponto Frio,Casa
2025-06-04,29.90,Google Play Games,Games
2025-06-03,78.50,Restaurante do João,Alimentação
2025-06-02,449.99,Americanas,Casa
2025-06-01,59.99,PlayStation Store,Games
